source	target	interaction	directed
UCRPktNf5vnBR1J4e7t1RUVg	UCo_IB5145EVNcf8hw1Kku7w	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UCbaGn5VkOVlcRgIWAHcrJKA	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UCX0Li3JxkKVPIHAamYe-YmQ	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UC2hAbftpVjHtFrDOpEM90aA	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UCTrtA2LyW7gie0o8hY4efXw	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UCsXVk37bltHxD1rDPwtNM8Q	pp	true
UCRPktNf5vnBR1J4e7t1RUVg	UCp68_FLety0O-n9QU6phsgw	pp	true
UCGnX8ABNZYuZrhzT-sJVaeg	UC2zHjOF9Womes-SEjdzTleA	pp	true
UCgl9rHdm9KojNRWs56QI_hg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCgl9rHdm9KojNRWs56QI_hg	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true
UCgl9rHdm9KojNRWs56QI_hg	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UCgl9rHdm9KojNRWs56QI_hg	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UC6ZEIvlahVCA8k5tYTr_a2A	UCUpquzY878NEaZm5bc7m2sQ	pp	true
UC6ZEIvlahVCA8k5tYTr_a2A	UCMSfoJzq24tEKNfdB4GaIqg	pp	true
UCGg-UqjRgzhYDPJMr-9HXCg	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCGg-UqjRgzhYDPJMr-9HXCg	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCGg-UqjRgzhYDPJMr-9HXCg	UCcB3bcWy0_QK7uPQvTD0LwQ	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCfM3zsQsOnfWNUppiycmBuw	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCe9DTWmhhxeKyYHL4mldGcA	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCkM3cLfmWBSFoEU-xVnQ-dw	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCGCPAOQDZa_TTTXDr5byjww	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UC4PooiX37Pld1T8J5SYT-SQ	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCfm4y4rHF5HGrSr-qbvOwOg	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCGjylN-4QCpn8XJ1uY-UOgA	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCHUE4ypXKp7ZkmdWbGJNgJg	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCutXfzLC5wrV3SInT_tdY0w	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCzH3iADRIq1IJlIXjfNgTpA	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCpko_-a4wgz2u_DgDgd9fqA	pp	true
UCqVDpXKLmKeBU_yyt_QkItQ	UCWljxewHlJE3M7U_6_zFNyA	pp	true
